007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Combat School	en	https://archive.org/download/combats_manual/combats_manual.jpg
Comic Bakery	en	https://archive.org/download/Commodore64Manuals/Comic Bakery (Europe).pdf
Commando	en	https://archive.org/download/Commodore64Manuals/Commando (Europe).pdf
Con-Quest	en	https://archive.org/download/Commodore64Manuals/Con-Quest (Europe).pdf
Confuzion	en	http://www.digitpress.com/library/manuals/c64/Confuzion.txt
Congo Bongo	en	https://archive.org/download/Commodore64Manuals/Congo Bongo (1983) (Europe).pdf
Connect Four	en	https://archive.org/download/Commodore64Manuals/Connect 4 (Europe).pdf
Continental Circus	en	https://archive.org/download/ccircus_manual/ccircus_manual.pdf
Cool World	en	https://archive.org/download/Commodore64Manuals/Cool World (Europe).pdf
Corporation	en	https://archive.org/download/Commodore64Manuals/Corporation, The (USA).pdf
Cosmic Causeway - Trailblazer II	en	https://archive.org/download/cctrail_manual/cctrail_manual.jpg
Cosmic Causeway - Trailblazer II	en-gb,de	https://archive.org/download/Commodore64Manuals/Cosmic Causeway II (USA) (Unl).pdf
Cosmic Life	en	https://archive.org/download/CosmicLifeSpinnaker/Cosmic_Life_Spinnaker.pdf
Cosmic Pirate	en	https://archive.org/download/Commodore64Manuals/Cosmic Pirate (Europe).pdf
Cosmonut	en-gb,de,es,fr	https://archive.org/download/Commodore64Manuals/Cosmonut (Europe).pdf
Count Duckula	en	http://www.digitpress.com/library/manuals/c64/countduckula.txt
Cowboy Kidz	en	https://archive.org/download/Commodore64Manuals/Cowboy Kidz (Europe).pdf
Crack Down	en-gb,fr	https://archive.org/download/Commodore64Manuals/Crack Down (Europe).pdf
Crazy Balloon	en	https://archive.org/download/Commodore64Manuals/Crazy Balloon (Europe).pdf
Crazy Cars	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Crazy Cars (Europe).pdf
Crazy Cars II	en	https://archive.org/download/Commodore64Manuals/Crazy Cars II (Europe).pdf
Crazy Cars III	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Crazy Cars III (Europe) (Side A).pdf
Crazy Comets	en	https://archive.org/download/Commodore64Manuals/Crazy Comets (Europe).pdf
Crazy Kong 64	en	https://archive.org/download/Commodore64Manuals/Crazy Kong 64 (Europe).pdf
Crazy-Kong	en	http://www.digitpress.com/library/manuals/c64/crazykong.txt
Cricket Master	en	https://archive.org/download/AmstradCPCManuals_201812/Cricket Master (Europe).pdf
Crisis Mountain	en	https://archive.org/download/Commodore64Manuals/Crisis Mountain (USA).pdf
Critical Mass	en	http://www.digitpress.com/library/manuals/c64/criticalmass.txt
Cross Fire	en	https://archive.org/download/Commodore64Manuals/Crossfire (Atlantis Software Ltd.) (Europe).pdf
Crystal Castles	en	https://archive.org/download/Commodore64Manuals/Crystal Castles (US Gold) (Europe).pdf
Crystal Kingdom Dizzy	en	https://archive.org/download/Commodore64Manuals/Crystal Kingdom Dizzy (Europe).pdf
Curse of Sherwood, The	en	https://archive.org/download/curse_manual/curse_manual.jpg
Cyberball	en	https://archive.org/download/Commodore64Manuals/Cyberball - Football in the 21st Century (Europe).pdf
Cyberball - Football in the 21st Century	en	https://archive.org/download/Commodore64Manuals/Cyberball - Football in the 21st Century (Europe).pdf
Cybernoid II	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Cybernoid II - The Revenge (Europe).pdf
Cybotron	en	https://archive.org/download/Commodore64Manuals/Cybotron (Europe).pdf
Cylu	en	https://archive.org/download/Commodore64Manuals/Cylu (Europe).pdf
Daley Thompson's Decathlon	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Daley Thompson's Decathlon (Europe).pdf
Dambusters, The	en	https://archive.org/download/Commodore64Manuals/Dam Busters, The (Europe).pdf
Dan Dare	en	https://archive.org/download/Commodore64Manuals/Dan Dare - Pilot of the Future (Europe).pdf
